Priority,Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
37,Equals Connect,,Financial institution,EC4V 3BJ,"3RD FLOOR 68 UPPER THAMES STREET, LONDON",20/01/2010,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Equals Connect. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Equals Connect who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
38,Scmi,,Financial institution,EC4V 3BJ,"VINTNERS' PLACE 68, LONDON",19/10/2012,FULL,66120 - Security and commodity contracts dealing activities,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Scmi. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",241,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Scmi who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
39,Lendable,,Financial institution,EC2A 4NW,"TELEPHONE HOUSE, LONDON",31/12/2013,FULL,64921 - Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Old St - Moreland Primary School,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from Lendable. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Lendable who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
40,Metlife Investment Management,,Financial institution,EC4R 3AB,"ONE ANGEL LANE, LONDON",26/02/2014,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Metlife Investment Management. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",266,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Metlife Investment Management who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
41,Equals Money International,,Financial institution,EC4V 3BJ,"3RD FLOOR, VINTNERS' PLACE, LONDON",23/04/2015,FULL,64191 - Banks,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Equals Money International. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Equals Money International who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
42,Payrnet,,Financial institution,EC4V 3BJ,"3RD FLOOR, VINTNERS' PLACE, LONDON",23/11/2015,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Payrnet. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",244,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Payrnet who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
43,Mightyhive,,Financial institution,EC2A 4DN,"MEDIAMONKS, 15, LONDON",15/07/2016,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from Mightyhive. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",264,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Mightyhive who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
44,Oscar Agro,,Financial institution,EC4V 3BJ,"C/O SUMI AGRO EUROPE LIMITED VINTNERS PLACE, LONDON",22/06/2018,FULL,64201 - Activities of agricultural holding companies,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Oscar Agro. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",247,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Oscar Agro who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
45,Acuris Holdings,,Financial institution,EC4R 1BE,"C/O ION, LONDON",18/04/2019,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Acuris Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",252,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Acuris Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
46,Acuris International,,Financial institution,EC4R 1BE,"C/O ION 10 QUEEN ST PLACE, LONDON",18/04/2019,FULL,64204 - Activities of distribution holding companies,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Acuris International. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Acuris International who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
47,Roqqett,,Financial institution,EC4V 3BJ,"THIRD FLOOR, THAMES HOUSE VINTNERS PLACE, LONDON",25/11/2019,FULL,62012 - Business and domestic software development | 64999 - Financial intermediation not elsewhere classified,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Roqqett. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",244,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Roqqett who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
48,Itrs Europe Holdings,,Financial institution,EC2A 4DN,"15 BONHILL STREET, LONDON",27/10/2020,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 17-min walk from Itrs Europe Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",274,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Itrs Europe Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
49,Anubis Wind Company,,Financial institution,EC4V 3BJ,"VINTNERS  PLACE, LONDON",14/06/2022,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Anubis Wind Company. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Anubis Wind Company who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
50,Nephthys Wind Company,,Financial institution,EC4V 3BJ,"VINTNERS  PLACE, LONDON",14/06/2022,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 17-min walk from Nephthys Wind Company. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Nephthys Wind Company who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
51,Julius Baer International,,Financial institution,EC1N 8SS,"20-23 GREVILLE STREET, LONDON",28/06/1973,GROUP,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,18,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 18-min walk from Julius Baer International. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",279,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Julius Baer International who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
52,Dkb Group Holdings,,Financial institution,EC4V 3DB,"MERMAID HOUSE PUDDLE DOCK, LONDON",29/03/2019,GROUP,64209 - Activities of other holding companies n.e.c.,Borough Academy,18,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 18-min walk from Dkb Group Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Dkb Group Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
53,Smart Managed Solutions Group,,Financial institution,EC3N 1LJ,"UNIT 201 PORTSOKEN HOUSE, LONDON",19/03/2020,GROUP,64209 - Activities of other holding companies n.e.c.,Whitechapel,18,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 18-min walk from Smart Managed Solutions Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Smart Managed Solutions Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
54,Intelligent Lending,,Financial institution,EC1Y 2AS,"WHITE COLLAR FACTORY, LONDON",21/09/2001,FULL,64999 - Financial intermediation not elsewhere classified,Shoreditch Rooftop,18,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Shoreditch Rooftop, a 18-min walk from Intelligent Lending. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Intelligent Lending who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
55,R&Q Broker Services,,Financial institution,EC4V 3DB,"THE MERMAID 2 PUDDLE DOCK, LONDON",27/07/2007,FULL,66220 - Activities of insurance agents and brokers,Borough Academy,18,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 18-min walk from R&Q Broker Services. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at R&Q Broker Services who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
56,Angra,,Financial institution,EC4V 3DB,"2 THE MERMAID HOUSE, 2 PUDDLE DOCK, BLACKFRIARS, LONDON",06/07/2009,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,18,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 18-min walk from Angra. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",242,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Angra who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
57,Smart Managed Solutions Holdings,,Financial institution,EC3N 1LJ,"UNIT 201 PORTSOKEN HOUSE, LONDON",19/03/2020,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,18,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 18-min walk from Smart Managed Solutions Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Smart Managed Solutions Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
58,Weavepay,,Financial institution,EC4V 3DB,"MERMAID HOUSE, LONDON",03/07/2020,FULL,62012 - Business and domestic software development | 64999 - Financial intermediation not elsewhere classified,Borough Academy,18,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 18-min walk from Weavepay. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",245,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Weavepay who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
59,Infinigate Hld Uk,,Financial institution,EC2A 4BX,"FIRST FLOOR,, LONDON",10/05/2022,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,18,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 18-min walk from Infinigate Hld Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",271,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Infinigate Hld Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
60,Walker Crips Group,,Financial institution,EC4V 4BJ,"128 QUEEN VICTORIA STREET, LONDON",21/06/1979,GROUP,64999 - Financial intermediation not elsewhere classified,Borough Academy,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 19-min walk from Walker Crips Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Walker Crips Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
61,The Character Group,,Financial institution,EC2Y 9AW,"CITYPOINT 16TH FLOOR, LONDON",15/03/1995,GROUP,64209 - Activities of other holding companies n.e.c. | 70100 - Activities of head offices,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from The Character Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at The Character Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
62,Utb Partners,,Financial institution,EC2Y 9AW,"28TH FLOOR, ONE, LONDON",14/10/2003,GROUP,64205 - Activities of financial services holding companies,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Utb Partners. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",266,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Utb Partners who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
63,Otcx,,Financial institution,EC4R 2SU,"6 DOWGATE HILL, LONDON",21/05/2013,GROUP,64209 - Activities of other holding companies n.e.c.,Borough Academy,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 19-min walk from Otcx. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",241,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Otcx who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
64,Three60 Energy,,Financial institution,EC1A 7BN,"C/O BRODIES LLP, LONDON",08/09/2016,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Three60 Energy. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Three60 Energy who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
65,Multi Asset Solutions,,Financial institution,EC2A 1NT,"131 FINSBURY PAVEMENT, LONDON",07/05/2020,GROUP,66120 - Security and commodity contracts dealing activities,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Multi Asset Solutions. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",275,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Multi Asset Solutions who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
66,Upside X,,Financial institution,EC1A 7BN,"4TH FLOOR, 90, LONDON",27/05/2020,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Upside X. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Upside X who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
67,Phillipcapital Uk,,Financial institution,EC4V 4BJ,"128 QUEEN VICTORIA STREET, LONDON",19/10/1993,FULL,64999 - Financial intermediation not elsewhere classified | 66110 - Administration of financial markets,Borough Academy,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 19-min walk from Phillipcapital Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Phillipcapital Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
68,Wilson Europe,,Financial institution,EC3N 2EX,"405A, 4TH FLOOR DAWSON HOUSE, LONDON",10/11/1995,FULL,66190 - Activities auxiliary to financial intermediation n.e.c.,Whitechapel,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 19-min walk from Wilson Europe. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",246,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Wilson Europe who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
69,Berkshire Hathaway International Insurance,,Financial institution,EC3A 7AW,"4TH FLOOR, THE ST BOTOLPH BUILDING,, LONDON",26/07/1996,FULL,65120 - Non-life insurance,Whitechapel,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Whitechapel, a 19-min walk from Berkshire Hathaway International Insurance. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",275,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Berkshire Hathaway International Insurance who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
70,Global Investment Strategy Uk,,Financial institution,EC1A 4HD,"200 ALDERSGATE STREET, LONDON",29/10/2002,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Global Investment Strategy Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",283,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Global Investment Strategy Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
71,Fti Consulting Management,,Financial institution,EC1A 4HD,"200 ALDERSGATE, LONDON",19/06/2003,FULL,64209 - Activities of other holding companies n.e.c. | 74990 - Non-trading company,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Fti Consulting Management. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",279,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Fti Consulting Management who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
72,Walker Crips Investment Management,,Financial institution,EC4V 4BJ,"128 QUEEN VICTORIA STREET, LONDON",22/05/2003,FULL,64991 - Security dealing on own account | 64999 - Financial intermediation not elsewhere classified | 66190 - Activities auxiliary to financial intermediation n.e.c.,Borough Academy,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Borough Academy, a 19-min walk from Walker Crips Investment Management. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",271,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Walker Crips Investment Management who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
73,Fti Uk Holdings,,Financial institution,EC1A 4HD,"200 ALDERSGATE, LONDON",03/09/2007,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,19,exact postcode,,,,,,"Hi {First} - I'm Joep from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Fti Uk Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Fti Uk Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Joep
FC Urban",,,,
