Business,Email,Email type,Phone (international),Website,Industry,Address,Postcode,City,Currently tagged venue,Walk to tagged venue (min),Tagged venue: booking status,Tagged venue: open after-work slots,Tagged venue: earliest slot,Haggerston Park: status,Best bookable alternatives nearby
Legacy Martial Arts,info@legacymartialartslondon.co.uk,openstreetmap_tag,,https://www.legacymartialartslondon.co.uk/,amenity: dojo,"Cremer Street 403, London",E2 8HB,London,Shoreditch Rooftop,11,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
BioPak Head Office,sales@biopak.com,commercial,+44 1386 555777,https://www.biopak.com/uk,manufacturer,"Room G01, Brickfields Business Centre, 37 Cremer St, London E2 8HD, UK",E2 8HD,London,Shoreditch Rooftop,11,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Magnetic London,hello@magnetic-london.co.uk,general,+44 20 7193 3747,https://www.magnetic-london.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13745144260154332613,service,"Studio 123, Brickfield Business Centre, 37 Cremer St, London E2 8HD, UK",E2 8HD,London,Shoreditch Rooftop,11,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Outset Studio - Hoxton,hello@outsetstudio.com,openstreetmap_tag,+44 20 3151 3242,https://outsetstudio.com/,amenity: studio,"Cremer Street 37, London",E2 8HD,London,Shoreditch Rooftop,11,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Docklands Accountancy,info@docklandsacc.com,general,+44 20 7033 9123,https://docklandsacc.com/,finance,"10 Waterson St, London E2 8HE, UK",E2 8HE,London,Shoreditch Rooftop,13,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Jackson's Framing,sales@jacksonsframing.co.uk,openstreetmap_tag,,jacksonsframing.co.uk,shop: frame,"Long Street 18 B, London",E2 8HQ,London,Shoreditch Rooftop,13,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Hundred Years Gallery,info@hundredyearsgallery.com,openstreetmap_tag,+44 20 3602 7973,http://hundredyearsgallery.co.uk/,tourism: gallery,"Pearson Street 13, London",E2 8JD,London,Shoreditch Rooftop,9,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Love Vinyl,lovevinylldn@gmail.com,openstreetmap_tag,+44 20 7729 8978,https://lovevinyl.net/,shop: music,"Pearson Street 5, London",E2 8JD,London,Shoreditch Rooftop,9,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Chilled Consulting,chilledconsulting@outlook.com,freemail,,https://www.chilledconsulting.com/,finance,"Shoreditch Exchange, Gorsuch Pl, London E2 8JF, UK",E2 8JF,London,Shoreditch Rooftop,12,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Grammatik Agency,contact@grammatikagency.com,general,+44 20 3950 7057,http://grammatikagency.com/,consultant,"Shoreditch Exchange, Senna Building, Gorsuch Pl, London E2 8JF, UK",E2 8JF,London,Shoreditch Rooftop,12,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Shoreditch Exchange,marketing@withoneder.com,people_team,+44 20 8050 3325,https://shoreditch-exchange.com/,coworking,"Gorsuch Place, London",E2 8JF,London,Shoreditch Rooftop,12,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Sager + Wilde,hello@sagerandwilde.com,general,+44 7761 168529,https://www.sagerandwilde.com/,amenity: bar,"Hackney Road 193, London",E2 8JL,London,Shoreditch Rooftop,14,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
The Premises Cafe,bookings@premisesstudios.com,commercial,+44 20 7684 2230,https://www.premisesstudios.com/cafe/,amenity: restaurant,"Hackney Road 209, London",E2 8JL,London,Shoreditch Rooftop,15,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Haggerston School,haggerstonschool@haggerstoncst.org,person_or_other,+44 20 7739 7324,https://www.haggerstoncst.org/,amenity: school,"Weymouth Terrace, London",E2 8LS,London,Shoreditch Rooftop,15,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Equal Parts,hello@equalpartslondon.com,openstreetmap_tag,,https://www.equalpartslondon.com/,amenity: bar,"Hackney Road 245, London",E2 8NA,London,Shoreditch Rooftop,17,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Fish Planet London,fishplanetlondon@gmail.com,freemail,+44 20 4625 9881,https://fishplanetlondon.co.uk/,shop: pet,"Scawfell Street 6, London",E2 8NG,London,Shoreditch Rooftop,16,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Frizzante,info@frizzanterestaurant.com,general,,https://frizzanterestaurant.com/,amenity: restaurant,"Goldsmiths' Row 1, London",E2 8QA,London,Shoreditch Rooftop,20,Available,Mon 28 Sep 18:00 (£72),Mon 28 Sep 18:00 (£72) · 5-a-side · ~£7.22 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Sebright School,admin@sebright.hackney.sch.uk,general,+44 20 7739 6531,https://www.sebright.hackney.sch.uk/,amenity: school,"Audrey Street, London",E2 8QH,London,COLA Shoreditch Park ,20,Available,Tue 29 Sep 17:30 (£91); Thu 1 Oct 17:30 (£91); Thu 1 Oct 18:30 (£91); Thu 1 Oct 19:30 (£91); Thu 1 Oct 20:30 (£91); Fri 2 Oct 17:30 (£91); +30 more,Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Gauchoworld SPACE,contact@gauchoworld.com,general,,https://www.gauchoworld.com/,coworking_space,"145 Goldsmiths Row, London E2 8QR, UK",E2 8QR,London,COLA Shoreditch Park ,22,Available,Tue 29 Sep 17:30 (£91); Thu 1 Oct 17:30 (£91); Thu 1 Oct 18:30 (£91); Thu 1 Oct 19:30 (£91); Thu 1 Oct 20:30 (£91); Fri 2 Oct 17:30 (£91); +30 more,Tue 29 Sep 17:30 (£91) · 5-a-side · ~£9.10 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Chrysanth Dental Care,info@chrysanth.london,general,+44 20 3620 1113,https://www.chrysanth.london/,amenity: dentist,"Cambridge Heath Road 493, London",E2 9BU,London,Stepney 3G,19,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Yo Yo Records London,yoyorecordslondon@gmail.com,freemail,+44 20 7033 8777,https://www.yoyorecordslondon.com/,shop: music,"Cambridge Heath Road 501, London",E2 9BU,London,Stepney 3G,20,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Fitness4Less,info@fitness4less.co.uk,general,,https://www.fitness4less.co.uk/location/cambridge/,leisure: sports centre,"Cambridge Heath Road, London",E2 9BY,London,Stepney 3G,19,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Eye Present,genevieve.dexter@eyepresent.co.uk,person_or_other,,https://www.eyepresent.co.uk/,company,"1-5 Vyner Street, London",E2 9DG,London,Stepney 3G,21,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Holland Harvey Architects,hello@hollandharvey.com,general,,https://www.hollandharvey.com/,architect,"1-5 Vyner Street, London",E2 9DG,London,Stepney 3G,21,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Squint/Opera,hello@squintopera.com,general,+44 20 7978 7788,https://www.squintopera.com/,company,"1-5 Vyner Street, London",E2 9DG,London,Stepney 3G,21,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Hackney Cycles,contacts@hackney-cycles.co.uk,person_or_other,,https://www.hackney-cycles.co.uk/,shop: bicycle,"Hackney Road 507, London",E2 9ED,London,Stepney 3G,19,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
The Queen Adelaide,richard@thequeenadelaide.com,person_or_other,,https://www.thequeenadelaide.com/,amenity: pub,"Hackney Road 483, London",E2 9ED,London,Stepney 3G,19,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Celeste - social media marketing,hello@iamwithceleste.com,general,+44 7830 729708,https://www.iamwithceleste.com/,service,"1 Emma St, London E2 9FP, UK",E2 9FP,London,Stepney 3G,20,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Containerville,hello@containerville.co.uk,general,+44 7469 149024,http://www.containerville.co.uk/,corporate_office,"1 Emma St, London E2 9FP, UK",E2 9FP,London,Stepney 3G,20,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Love Shack,hi@loveshackldn.com,general,,https://www.loveshackldn.com/,amenity: restaurant,"Cambridge Heath Road 298-299, London",E2 9HA,London,Stepney 3G,18,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Mowlem Primary School,admin@mowlem.towerhamlets.sch.uk,general,+44 20 8249 6880,https://www.mowlem.towerhamlets.sch.uk/,amenity: school,"Mowlem Street, London",E2 9HE,London,Stepney 3G,19,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Gatehouse School,admin@gatehouseschool.co.uk,general,+44 20 8980 2978,https://www.gatehouseschool.co.uk/,amenity: school,"Sewardstone Road, London",E2 9JG,London,Stepney 3G,14,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
The Dundee Arms,info@thedundeearms.com,openstreetmap_tag,+44 20 7729 6903,http://www.thedundeearms.com/,amenity: pub,"Cambridge Heath Road 339, London",E2 9LH,London,Stepney 3G,13,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
St John's Church of England Primary School,admin@st-johns.towerhamlets.sch.uk,general,+44 20 8980 1142,https://www.st-johns.towerhamlets.sch.uk/,amenity: school,"Peel Grove, London",E2 9LR,London,Stepney 3G,14,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
The Approach Tavern,approachtavern@remarkablepubs.co.uk,openstreetmap_tag,+44 20 8980 2321,https://theapproachtavern.co.uk/,amenity: pub,"Approach Road 47, London",E2 9LY,London,Stepney 3G,14,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
The Solo Kitchen & Bar,info@thesolo.co.uk,general,+44 20 8014 2656,https://www.thesolo.co.uk/,amenity: restaurant,"Cambridge Heath Road, London",E2 9PA,London,Stepney 3G,11,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Young V&A,hello@vam.ac.uk,general,+44 20 7942 2000,https://www.vam.ac.uk/young,tourism: museum,"Cambridge Heath Road, London",E2 9PA,London,Stepney 3G,12,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Gallery Café,office@stmargaretshouse.org.uk,general,,https://www.stmargaretshouse.org.uk/the-gallery-cafe,amenity: cafe,"Old Ford Road 15-23, London",E2 9PJ,London,Stepney 3G,13,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
The People's Letters Bookshop,info@peoplesletters.org,general,,https://peoplesletters.org/,shop: books,"Cambridge Heath Road 395, London",E2 9RA,London,Stepney 3G,15,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Burnt,info@burntrestaurant.co.uk,general,,https://www.burntrestaurant.co.uk/burnt-arches,amenity: cafe,"Poyser Street 278, London",E2 9RF,London,Stepney 3G,15,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Vagina Museum,info@vaginamuseum.co.uk,openstreetmap_tag,,https://www.vaginamuseum.co.uk/,tourism: museum,"Poyser Street 275-276, London",E2 9RF,London,Stepney 3G,15,Available,Mon 28 Sep 17:30 (£3/pp); Mon 28 Sep 18:30 (£5/pp); Mon 28 Sep 19:30 (£5/pp); Mon 28 Sep 20:30 (£5/pp); Tue 29 Sep 17:30 (£3/pp); Tue 29 Sep 18:30 (£5/pp); +26 more,Mon 28 Sep 17:30 (£3/pp) · 5-a-side · ~£3.00 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Mossbourne Parkside Academy,enquiries@mossbourne.org,general,+44 20 8618 1300,https://www.mpa.mossbourne.org/,amenity: school,"Sigdon Road, London",E8 1AS,London,Hackney,14,Available,Fri 2 Oct 20:00 (£98); Fri 9 Oct 20:00 (£98); Fri 16 Oct 20:00 (£98); Fri 23 Oct 20:00 (£98),Fri 2 Oct 20:00 (£98) · 7-a-side · ~£6.97 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Teal,quack@tealbysallyabe.com,person_or_other,,https://www.tealbysallyabe.com/,amenity: restaurant,"Wilton Way 52, London",E8 1BG,London,Hackney,14,Available,Fri 2 Oct 20:00 (£98); Fri 9 Oct 20:00 (£98); Fri 16 Oct 20:00 (£98); Fri 23 Oct 20:00 (£98),Fri 2 Oct 20:00 (£98) · 7-a-side · ~£6.97 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Sutton and Sons Fish & Chips,hello@suttonandsons.co.uk,general,+44 20 3645 1801,https://www.suttonandsons.co.uk/,amenity: restaurant,"Graham Road 218, London",E8 1BP,London,Hackney,8,Available,Fri 2 Oct 20:00 (£98); Fri 9 Oct 20:00 (£98); Fri 16 Oct 20:00 (£98); Fri 23 Oct 20:00 (£98),Fri 2 Oct 20:00 (£98) · 7-a-side · ~£6.97 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Hackney Church Brew Co,hello@hackneychurchbrew.co,openstreetmap_tag,+44 20 3795 8295,https://hackneychurchbrew.co,amenity: bar,"Bohemia Place, London",E8 1DU,London,Hackney,4,Available,Fri 2 Oct 20:00 (£98); Fri 9 Oct 20:00 (£98); Fri 16 Oct 20:00 (£98); Fri 23 Oct 20:00 (£98),Fri 2 Oct 20:00 (£98) · 7-a-side · ~£6.97 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Night Tales,info@nighttales.co.uk,general,,https://nighttales.co.uk,amenity: nightclub,"Bohemia Place, London",E8 1DU,London,Hackney,4,Available,Fri 2 Oct 20:00 (£98); Fri 9 Oct 20:00 (£98); Fri 16 Oct 20:00 (£98); Fri 23 Oct 20:00 (£98),Fri 2 Oct 20:00 (£98) · 7-a-side · ~£6.97 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Bread & Butter,hello@breadandbuttercollection.com,general,,https://breadandbuttercollection.com/pages/photo,amenity: community centre,"Bohemia Place, London",E8 1DU,London,Hackney,6,Available,Fri 2 Oct 20:00 (£98); Fri 9 Oct 20:00 (£98); Fri 16 Oct 20:00 (£98); Fri 23 Oct 20:00 (£98),Fri 2 Oct 20:00 (£98) · 7-a-side · ~£6.97 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Pembury Community Centre,pembury.community@peabody.org.uk,openstreetmap_tag,+44 20 3828 3500,,amenity: community centre,"Atkins Square 1, London",E8 1FA,London,Hackney,10,Available,Fri 2 Oct 20:00 (£98); Fri 9 Oct 20:00 (£98); Fri 16 Oct 20:00 (£98); Fri 23 Oct 20:00 (£98),Fri 2 Oct 20:00 (£98) · 7-a-side · ~£6.97 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
We Are Vegan Everything,management@weareveganeverything.com,person_or_other,+44 7734 253401,https://weareveganeverything.com/,amenity: cafe,"Dispensary Lane 11, London",E8 1FT,London,Hackney,5,Available,Fri 2 Oct 20:00 (£98); Fri 9 Oct 20:00 (£98); Fri 16 Oct 20:00 (£98); Fri 23 Oct 20:00 (£98),Fri 2 Oct 20:00 (£98) · 7-a-side · ~£6.97 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
Zelo,info@zelobike.co.uk,general,+44 20 8740 7831,https://www.zelobike.co.uk/,shop: bicycle,"Mare Street 281, London",E8 1GR,London,Hackney,10,Available,Fri 2 Oct 20:00 (£98); Fri 9 Oct 20:00 (£98); Fri 16 Oct 20:00 (£98); Fri 23 Oct 20:00 (£98),Fri 2 Oct 20:00 (£98) · 7-a-side · ~£6.97 per player at cost,Contact required: 020 8986 7955 (Mon-Fri 09:00-15:30) / hackney.marshes@gll.org. Playfinder shows fully booked,
