Business,Industry,Website,Address,Postcode,Nearest FC Urban venue,Walk (min),Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,InMail subject,InMail body,LinkedIn status,Connected at,Replied,Notes
NRV Tax Ltd- Chartered Accountants in London,finance,http://nrvtax.co.uk/,"Spaces, 60 Cannon St, London EC4N 6NP, UK",EC4N 6NP,Borough Academy,20,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 20-min walk from NRV Tax Ltd- Chartered Accountants in London. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",282,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at NRV Tax Ltd- Chartered Accountants in London who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near NRV Tax Ltd- Chartered Accountants in London,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 20-minute walk from your office. We're looking for someone at NRV Tax Ltd- Chartered Accountants in London who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
TT Club - London,insurance_agency,https://www.ttclub.com/?utm_source=GMBlisting&utm_medium=organichttps://www.ttclub.com/?utm_source=GMBlisting&utm_medium=organic?utm_campaign=united_kingdom,"90 Fenchurch St, London EC3M 4ST, UK",EC3M 4ST,Whitechapel,20,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 20-min walk from TT Club - London. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",250,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at TT Club - London who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near TT Club - London,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 20-minute walk from your office. We're looking for someone at TT Club - London who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Trinity Group Limited,finance,http://www.trinity-group.co.uk/,"33 Cannon St, London EC4M 5SB, UK",EC4M 5SB,Borough Academy,20,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 20-min walk from Trinity Group Limited. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Trinity Group Limited who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Trinity Group Limited,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 20-minute walk from your office. We're looking for someone at Trinity Group Limited who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Alantra,finance,https://www.alantra.com/,"25 Cannon St, London EC4M 5SB, UK",EC4M 5SB,Borough Academy,21,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Alantra. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",245,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Alantra who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Alantra,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 21-minute walk from your office. We're looking for someone at Alantra who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Emerge Capital Partners,finance,http://www.emergecap.com/,"1 Fore St Ave, Barbican, London EC2Y 9DT, UK",EC2Y 9DT,Old St - Moreland Primary School,21,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 21-min walk from Emerge Capital Partners. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",278,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Emerge Capital Partners who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Emerge Capital Partners,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 21-minute walk from your office. We're looking for someone at Emerge Capital Partners who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Folgate Underwriting Agency Ltd,insurance_agency,http://www.folgateltd.com/,"80 Leadenhall St, London EC3A 3DH, UK",EC3A 3DH,Whitechapel,21,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 21-min walk from Folgate Underwriting Agency Ltd. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",265,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Folgate Underwriting Agency Ltd who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Folgate Underwriting Agency Ltd,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 21-minute walk from your office. We're looking for someone at Folgate Underwriting Agency Ltd who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Giambrone & Partners LLP,finance,http://www.giambronelaw.com/,"12 Bridewell Pl, London EC4V 6AP, UK",EC4V 6AP,Borough Academy,21,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Giambrone & Partners LLP. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Giambrone & Partners LLP who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Giambrone & Partners LLP,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 21-minute walk from your office. We're looking for someone at Giambrone & Partners LLP who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Just Landlords,insurance_agency,https://www.justlandlords.co.uk/,"The Walbrook Building, 25, Walbrook, London EC4N 8AW, UK",EC4N 8AW,Borough Academy,21,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Just Landlords. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",252,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Just Landlords who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Just Landlords,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 21-minute walk from your office. We're looking for someone at Just Landlords who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Labyrinth Technology,finance,https://www.labyrinthit.com/,"10 Lower Thames St, London EC3R 6AF, UK",EC3R 6AF,Borough Academy,21,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Labyrinth Technology. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Labyrinth Technology who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Labyrinth Technology,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 21-minute walk from your office. We're looking for someone at Labyrinth Technology who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Schroder Investment Management Limited,finance,https://www.schroders.com/,"1 London Wall Place, 1 London Wall Pl, London Wall, Barbican, London EC2Y 5AU, UK",EC2Y 5AU,Old St - Moreland Primary School,21,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 21-min walk from Schroder Investment Management Limited. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",293,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Schroder Investment Management Limited who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Schroder Investment Management Limited,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 21-minute walk from your office. We're looking for someone at Schroder Investment Management Limited who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
The Tax Lead,finance,http://thetaxlead.co.uk/,"8 Devonshire Square, London EC2M 4YJ, UK",EC2M 4YJ,Whitechapel,21,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 21-min walk from The Tax Lead. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",246,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at The Tax Lead who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near The Tax Lead,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 21-minute walk from your office. We're looking for someone at The Tax Lead who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Vertice Services,finance,https://verticeservices.com/,"13 St Swithin's Ln, London EC4N 8AL, UK",EC4N 8AL,Borough Academy,21,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Vertice Services. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Vertice Services who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Vertice Services,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 21-minute walk from your office. We're looking for someone at Vertice Services who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
123Financials - Accountants in London,finance,https://www.123financials.com/,"9 Appold St, London EC2A 2AP, UK",EC2A 2AP,Old St - Moreland Primary School,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 22-min walk from 123Financials - Accountants in London. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",292,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at 123Financials - Accountants in London who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near 123Financials - Accountants in London,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 22-minute walk from your office. We're looking for someone at 123Financials - Accountants in London who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Abshire-Smith,finance,https://www.abshire-smith.com/,"Entegria Ltd, 110 Fenchurch St, London EC3M 5JT, UK",EC3M 5JT,Whitechapel,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from Abshire-Smith. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",247,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Abshire-Smith who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Abshire-Smith,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 22-minute walk from your office. We're looking for someone at Abshire-Smith who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Cardano,finance,http://www.cardano.com/,"9th floor, 6 Bevis Marks, London EC3A 7BA, UK",EC3A 7BA,Whitechapel,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from Cardano. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",241,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Cardano who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Cardano,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 22-minute walk from your office. We're looking for someone at Cardano who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Daiwa Capital Markets Europe Ltd,finance,http://www.uk.daiwacm.com/,"5 King William St, London EC4N 7DA, UK",EC4N 7DA,Borough Academy,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Daiwa Capital Markets Europe Ltd. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",270,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Daiwa Capital Markets Europe Ltd who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Daiwa Capital Markets Europe Ltd,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 22-minute walk from your office. We're looking for someone at Daiwa Capital Markets Europe Ltd who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
EQ Investors,finance,https://eqinvestors.co.uk/,"Centennium House, 100 Lower Thames St, London EC3R 6DL, UK",EC3R 6DL,Borough Academy,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from EQ Investors. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",250,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at EQ Investors who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near EQ Investors,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 22-minute walk from your office. We're looking for someone at EQ Investors who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Faros Capital,finance,https://faroscapital.co.uk/,"4-8 Ludgate Circus, London EC4M 7LF, UK",EC4M 7LF,Borough Academy,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Faros Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Faros Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Faros Capital,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 22-minute walk from your office. We're looking for someone at Faros Capital who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
IPS Capital LLP,finance,http://www.ipscap.com/,"4 Eastcheap, London EC3M 1AE, UK",EC3M 1AE,Borough Academy,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from IPS Capital LLP. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",253,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at IPS Capital LLP who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near IPS Capital LLP,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 22-minute walk from your office. We're looking for someone at IPS Capital LLP who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Investment Quorum,finance,https://www.investmentquorum.com/,"68 King William St, London EC4N 7HR, UK",EC4N 7HR,Borough Academy,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Investment Quorum. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Investment Quorum who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Investment Quorum,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 22-minute walk from your office. We're looking for someone at Investment Quorum who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
KNBC Accounting Ltd,finance,https://www.knbc.co.uk/,"3rd Floor, 12 Groveland Ct, London EC4M 9EH, UK",EC4M 9EH,Borough Academy,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from KNBC Accounting Ltd. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at KNBC Accounting Ltd who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near KNBC Accounting Ltd,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 22-minute walk from your office. We're looking for someone at KNBC Accounting Ltd who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Onyx Insurance Brokers,insurance_agency,https://www.onyxinsurance.co.uk/,"65 Fenchurch St, London EC3M 4BE, UK",EC3M 4BE,Whitechapel,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from Onyx Insurance Brokers. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",256,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Onyx Insurance Brokers who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Onyx Insurance Brokers,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Whitechapel, a 22-minute walk from your office. We're looking for someone at Onyx Insurance Brokers who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
Paysafe,finance,https://www.paysafe.com/,"1st Floor, 2 Gresham St, London EC2V 7AD, UK",EC2V 7AD,Old St - Moreland Primary School,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 22-min walk from Paysafe. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Paysafe who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near Paysafe,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Old St - Moreland Primary School, a 22-minute walk from your office. We're looking for someone at Paysafe who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
RPGCC Chartered Accountants & Auditors London,finance,https://www.rpgcrouchchapman.co.uk/,"40 Gracechurch St, London EC3V 0BT, UK",EC3V 0BT,Borough Academy,22,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from RPGCC Chartered Accountants & Auditors London. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",283,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at RPGCC Chartered Accountants & Auditors London who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",After-work football near RPGCC Chartered Accountants & Auditors London,"Hi {First},

I'm Brian from FC Urban - we organise social football games across London where people just turn up and play.

We run games at Borough Academy, a 22-minute walk from your office. We're looking for someone at RPGCC Chartered Accountants & Auditors London who'd enjoy helping get a regular after-work game going for colleagues. We take care of the pitch, the payments and the organising, and top the group up with our own players if numbers are short - so it needs one person internally who likes football, not an organiser.

Would you be the right person, or could you point me to whoever looks after wellbeing or staff socials?

Brian
FC Urban",,,,
