Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
Augment Risk Services Uk,,Financial institution,EC3V 3ND,"NO.1, LONDON",11/11/2022,FULL,66290 - Other activities auxiliary to insurance and pension funding,Borough Academy,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Augment Risk Services Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Augment Risk Services Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Aureos Energy,,Financial institution,EC1A 9HP,"2ND FLOOR, 1 LINDSEY STREET, LONDON",05/10/2020,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,16,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 16-min walk from Aureos Energy. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 16 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Aureos Energy who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Avalere Health Topco,,Financial institution,EC1Y 2AL,"THE FEATHERSTONE BUILDING, LONDON",10/12/2019,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,14,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Avalere Health Topco. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",275,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Avalere Health Topco who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Axi Financial Services (Uk),,Financial institution,EC2A 2BN,"1 FINSBURY MARKET, LONDON",12/01/2007,GROUP,66120 - Security and commodity contracts dealing activities,Old St - Moreland Primary School,21,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 21-min walk from Axi Financial Services (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",282,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Axi Financial Services (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Axis Capital Markets,,Financial institution,EC4M 9BJ,"73 WATLING STREET, LONDON",06/07/2012,FULL,64999 - Financial intermediation not elsewhere classified | 66110 - Administration of financial markets,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Axis Capital Markets. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Axis Capital Markets who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
B&P Buyco,,Financial institution,EC3A 7BA,"LEVEL 01, 6 BEVIS MARKS, LONDON",16/08/2016,FULL,64303 - Activities of venture and development capital companies,Whitechapel,22,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from B&P Buyco. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",243,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at B&P Buyco who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
B&P Midco 1,,Financial institution,EC3A 7BA,"LEVEL 01, 6 BEVIS MARKS, LONDON",02/09/2016,FULL,64303 - Activities of venture and development capital companies,Whitechapel,22,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from B&P Midco 1. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",245,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at B&P Midco 1 who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
B&P Midco 2,,Financial institution,EC3A 7BA,"LEVEL 01, 6 BEVIS MARKS, LONDON",02/09/2016,FULL,64303 - Activities of venture and development capital companies,Whitechapel,22,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from B&P Midco 2. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",245,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at B&P Midco 2 who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
B3 Insurance,,Financial institution,EC3A 8EP,"LEVEL 15, LONDON",04/03/2020,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from B3 Insurance. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",246,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at B3 Insurance who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Baader Helvea,,Financial institution,EC3V 3NL,5 ROYAL EXCHANGE BUILDINGS,16/10/2003,FULL,66120 - Security and commodity contracts dealing activities,Borough Academy,24,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Baader Helvea. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Baader Helvea who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bank Of Africa United Kingdom,,Financial institution,EC2M 2PL,"37 SUN STREET, LONDON",29/12/2004,FULL,64999 - Financial intermediation not elsewhere classified,Whitechapel,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Bank Of Africa United Kingdom. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bank Of Africa United Kingdom who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bank Of Baroda (Uk),,Financial institution,EC1Y 2BD,"32 CITY ROAD, LONDON",20/06/2017,FULL,64191 - Banks,Old St - Moreland Primary School,14,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Bank Of Baroda (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",274,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bank Of Baroda (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bank Of Beirut (Uk),,Financial institution,EC4N 6AE,"66 CANNON STREET, LONDON",30/03/2002,FULL,64191 - Banks,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Bank Of Beirut (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bank Of Beirut (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bank Of Ceylon (Uk),,Financial institution,EC2M 4WD,"1 DEVONSHIRE SQUARE, LONDON",29/10/2008,FULL,64191 - Banks,Whitechapel,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Bank Of Ceylon (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",253,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bank Of Ceylon (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bank Of England Alternative Liquidity Facility,,Financial institution,EC2R 7HH,"8 LOTHBURY, LONDON",14/12/2018,FULL,64110 - Central banking,Old St - Moreland Primary School,25,postcode district,,,,,,"Hi {First} - Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 25-min walk from your office. Anyone at Bank Of England Alternative Liquidity Facility up for starting an after-work game? We handle pitch, payments and organising.",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bank Of England Alternative Liquidity Facility who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bank Of England Asset Purchase Facility Fund,,Financial institution,EC2R 7HH,"8 LOTHBURY, LONDON",30/01/2009,FULL,64110 - Central banking,Old St - Moreland Primary School,25,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 25-min walk from Bank Of England Asset Purchase Facility Fund. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",299,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bank Of England Asset Purchase Facility Fund who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bank Saderat,,Financial institution,EC2R 7HD,5 LOTHBURY,03/08/1973,FULL,64191 - Banks,Old St - Moreland Primary School,25,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 25-min walk from Bank Saderat. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bank Saderat who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bank Sepah International,,Financial institution,EC3M 1JT,5/7 EASTCHEAP,29/03/2001,FULL,64191 - Banks,Whitechapel,24,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Bank Sepah International. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bank Sepah International who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Barilla International,,Financial institution,EC1V 7DF,"HARELLA HOUSE, LONDON",08/07/2020,FULL,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,9,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 9-min walk from Barilla International. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",275,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 9 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Barilla International who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Barle Holdings,,Financial institution,EC1Y 0UL,"16 - 22 BALTIC STREET WEST, LONDON",04/03/2020,GROUP,64205 - Activities of financial services holding companies,Old St - Moreland Primary School,14,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Barle Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Barle Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Barolo Finco,,Financial institution,EC2A 2AP,"5TH FLOOR, 9, LONDON",14/07/2022,GROUP,64209 - Activities of other holding companies n.e.c.,Old St - Moreland Primary School,22,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 22-min walk from Barolo Finco. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Barolo Finco who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Basileia Investment Holdings (Uk),,Financial institution,EC2M 5QQ,"UNIT 351 SALISBURY HOUSE, LONDON",16/02/2022,GROUP,64209 - Activities of other holding companies n.e.c.,Whitechapel,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Basileia Investment Holdings (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",267,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Basileia Investment Holdings (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Beaubien Uk Finance,,Financial institution,EC3V 4AN,"THE AON CENTRE, THE LEADENHALL BUILDING, LONDON",04/08/2015,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,24,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Beaubien Uk Finance. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Beaubien Uk Finance who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Benchmark Intelligence Group,,Financial institution,EC3R 5DD,"2-4 IDOL LANE, LONDON",27/02/2021,GROUP,64209 - Activities of other holding companies n.e.c.,Borough Academy,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Benchmark Intelligence Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",266,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Benchmark Intelligence Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bepi,,Financial institution,EC2A 4PS,"1 PHIPP STREET, LONDON",26/10/2020,FULL,62090 - Other information technology service activities | 64999 - Financial intermediation not elsewhere classified,Shoreditch Rooftop,20,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Shoreditch Rooftop, a 20-min walk from Bepi. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",245,"Thanks for connecting, {First}.

Quick one - we run social football games at Shoreditch Rooftop, about 20 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bepi who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
"Berkley Offshore Underwriting Managers Uk,",,Financial institution,EC3M 7AF,"LEVEL 13, LONDON",15/12/2008,FULL,65120 - Non-life insurance,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Berkley Offshore Underwriting Managers Uk,. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",276,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Berkley Offshore Underwriting Managers Uk, who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Berkshire Hathaway International Insurance,,Financial institution,EC3A 7AW,"4TH FLOOR, THE ST BOTOLPH BUILDING,, LONDON",26/07/1996,FULL,65120 - Non-life insurance,Whitechapel,19,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 19-min walk from Berkshire Hathaway International Insurance. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",276,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Berkshire Hathaway International Insurance who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Better Society Capital,,Financial institution,EC1Y 8RN,"SCRIPT, LONDON",11/04/2011,FULL,66300 - Fund management activities,Old St - Moreland Primary School,14,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Better Society Capital. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",277,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Better Society Capital who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bidvest Services (Uk),,Financial institution,EC2M 1NR,"5TH FLOOR (SOUTH) DASHWOOD HOUSE, LONDON",07/07/2017,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Bidvest Services (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bidvest Services (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bidvest Services Group (Uk),,Financial institution,EC2M 1NR,"5TH FLOOR (SOUTH) DASHWOOD HOUSE, LONDON",07/07/2017,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Bidvest Services Group (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",261,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bidvest Services Group (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bimeh Iran Insurance Company (U.K.),,Financial institution,EC3M 5HN,4/5 FENCHURCH BUILDINGS,18/08/1975,FULL,65202 - Non-life reinsurance,Whitechapel,24,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Bimeh Iran Insurance Company (U.K.). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",269,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bimeh Iran Insurance Company (U.K.) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bitwise Europe Management,,Financial institution,EC2N 4AW,"60 BISHOPSGATE, LONDON",20/08/2019,FULL,64205 - Activities of financial services holding companies | 64209 - Activities of other holding companies n.e.c.,Whitechapel,26,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from Bitwise Europe Management. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bitwise Europe Management who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Black Pearl Securities,,Accountancy / financial advisory,EC2V 8EH,"28 KING STREET, LONDON",20/12/2013,FULL,70221 - Financial management,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Black Pearl Securities. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Black Pearl Securities who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Blackfriars Asset Management,,Financial institution,EC4N 6HL,"LANDMARK 4TH FLOOR, LONDON",15/03/1996,FULL,66120 - Security and commodity contracts dealing activities,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Blackfriars Asset Management. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",266,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Blackfriars Asset Management who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Blenheim Underwriting,,Financial institution,EC3R 7NQ,"7TH FLOOR, 70, LONDON",28/06/2016,FULL,65120 - Non-life insurance | 65202 - Non-life reinsurance,Whitechapel,23,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Blenheim Underwriting. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Blenheim Underwriting who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bloomberg Trading Facility,,Financial institution,EC4N 4TQ,"3 QUEEN VICTORIA STREET, LONDON",30/04/2014,FULL,66110 - Administration of financial markets,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Bloomberg Trading Facility. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",264,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bloomberg Trading Facility who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bmg Insurance Brokers,,Financial institution,EC3A 2BG,"1ST FLOOR LANDMARK HOUSE, LONDON",08/06/2003,FULL,66220 - Activities of insurance agents and brokers,Whitechapel,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 22-min walk from Bmg Insurance Brokers. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bmg Insurance Brokers who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
